Company Name,Year of experience,Job location,Skills required,Publised days ago
INSPIRATION MANPOWER,12 yrs,Bengaluru / Bangalore,"oracle sql developer  ,  python  ,  bi  ,  mobile  ,  oracle sql",1.0
CONCOURSE SOLUTIONS PRIVATE LIMITED,3 yrs,"Nagpur,  Pune","oracle  ,  jsp  ,  hibernate  ,  ajax  ,  jquery  ,  java developer  ,  spring  ,  java  ,  ooad  ,  oops  ,  j2ee  ,  mysql  ,  pl  /  sql",0.0
PUBLICIS GROUPE,10 yrs,Bengaluru / Bangalore,"css  ,  html5  ,  t-sql  ,  sso  ,  xml  ,  asp.net  ,  web api  ,  pl  /  sql  ,  c#  ,  oracle  ,  javascript  ,  messaging  ,  microsoft technologies  ,  bootstrap  ,  jquery  ,  database development  ,  database  ,  security  ,  uml  ,  software engineer  ,  mvc  ,  microsoft.net  ,  forms",1.0
skyla software solution pvt ltd,5 yrs,Jamshedpur,"css  ,  html5  ,  sharepoint  ,  vb.net  ,  ajax  ,  t-sql  ,  jquery  ,  asp.net  ,  ssrs  ,  mvc  ,  c#  ,  javascript  ,  windows forms  ,  software developer",0.0
Plasma,7 yrs,,"hive  ,  apache pig  ,  hibernate  ,  artificial intelligence  ,  docker  ,  sql  ,  spring  ,  java  ,  apache  ,  flume  ,  linux  ,  json  ,  multithreading  ,  hadoop  ,  mvc  ,  big data  ,  hbase  ,  rest  ,  oozie  ,  windows  ,  java developer  ,  messaging  ,  gradle  ,  spring framework  ,  servlets  ,  hdfs  ,  sqoop  ,  unix  /  linux  ,  oracle sql",1.0
cibirix digital media,6 yrs,Indore,"python  ,  css  ,  html5  ,  rest api  ,  mvc architecture  ,  javascript  ,  sql  ,  database  ,  django  ,  xml  ,  oops  ,  json  ,  mysql  ,  soap",0.0
TandA HR Solutions,3 yrs,Mohali,"c#  ,  sql server developer  ,  .net developer  ,  .net  ,  triggers  ,  sql database",1.0
MarvyLogic,7 yrs,Bengaluru / Bangalore,"biztalk  ,  sharepoint  ,  ajax  ,  sql  ,  java  ,  html  ,  mysql  ,  cloud computing  ,  c#  ,  rdbms  ,  oracle  ,  asp .net  ,  infrastructure  ,  ooad  ,  .net  ,  asp",0.0
ShriShail Technologies Pvt. Ltd.,4 yrs,Hyderabad/Secunderabad,"c    ,  html5  ,  bug fixing  ,  jquery  ,  sql  ,  java  ,  xml  ,  j2ee  ,  json  ,  data structures  ,  api  ,  rest  ,  c  ,  eclipse  ,  soap",0.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,Pune,"hive  ,  algorithms  ,  sql  ,  pig  ,  java  ,  git  ,  hadoop  ,  mongodb  ,  hbase  ,  python  ,  sas  ,  problem solving  ,  machine learning  ,  nosql  ,  cassandra",0.0
Ideapoke,4 yrs,Bengaluru / Bangalore,"algorithms  ,  artificial intelligence  ,  sql  ,  data extraction  ,  big data  ,  python  ,  natural language processing  ,  team player  ,  machine learning  ,  nosql",0.0
BUSISOL SOURCING INDIA PVT. LTD,3 yrs,Mumbai,"mdx  ,  bi  ,  data warehousing  ,  business intelligence  ,  sql  ,  data transformation  ,  bi developer  ,  ssas  ,  gui development  ,  data quality  ,  ssis  ,  gateway",0.0
BUSISOL SOURCING INDIA PVT. LTD,8 yrs,Chennai,"mdx  ,  bi  ,  data warehousing  ,  business intelligence  ,  sql  ,  data transformation  ,  bi developer  ,  ssas  ,  gui development  ,  data quality  ,  ssis  ,  gateway",0.0
APPLYCUP HIRING SOLUTIONS LLP,10 yrs,Pune,"websphere  ,  css  ,  socket programming  ,  sql  ,  apache  ,  xml  ,  linux  ,  json  ,  debugging  ,  html  ,  python  ,  tornado  ,  problem solving  ,  javascript  ,  django",0.0
jusmark tech,3 yrs,Bhopal,"c#  ,  oracle  ,  .net developer  ,  entity framework  ,  vb.net  ,  sql  ,  mcsd  ,  infrastructure  ,  asp.net  ,  web developer  ,  .net  ,  software engineering  ,  mvc",0.0
Pegasus InfoCorp Pvt. Ltd,9 yrs,"Navi Mumbai,  Mumbai,  Pune,  Bengaluru / Bangalore","mentor  ,  windows services  ,  test driven development  ,  coding  ,  database  ,  asp.net  ,  wcf  ,  rdbms  ,  sql server  ,  application development  ,  technical design  ,  technical requirements  ,  threading",0.0
innervex technologies pvt.ltd,3 yrs,Coimbatore,"bug fixing  ,  storage  ,  mockito  ,  sql  ,  memory management  ,  java  ,  mvvm  ,  xml  ,  json  ,  mysql  ,  mvc  ,  rest  ,  mobile  ,  android development  ,  soap",0.0
innervex technologies pvt.ltd,5 yrs,Coimbatore,"senior software engineer  ,  bug fixing  ,  storage  ,  mockito  ,  sql  ,  memory management  ,  java  ,  mvvm  ,  xml  ,  json  ,  mysql  ,  mvc  ,  rest  ,  android development  ,  soap",0.0
menorah personnel management india pvt ltd,7 yrs,Chennai,"hive  ,  technical leader  ,  hadoop developer  ,  oozie  ,  sql  ,  pig  ,  spring  ,  spring boot  ,  java  ,  unix shell scripting  ,  mapreduce  ,  hdfs  ,  hadoop  ,  big data",0.0
APPLYCUP HIRING SOLUTIONS LLP,8 yrs,Ahmedabad,"scala  ,  sql  ,  apache  ,  devops  ,  perl  ,  hadoop  ,  big data  ,  mongodb  ,  middleware  ,  python  ,  mobile  ,  machine learning  ,  ruby  ,  nosql  ,  messaging  ,  infrastructure  ,  splunk",0.0
APPLYCUP HIRING SOLUTIONS LLP,4 yrs,Ahmedabad,"css  ,  html5  ,  rest api  ,  storage  ,  sql  ,  database  ,  security  ,  git  ,  mysql  ,  rest  ,  mobile  ,  knockoutjs  ,  javascript  ,  node.js  ,  infrastructure",0.0
APPLYCUP HIRING SOLUTIONS LLP,3 yrs,Ahmedabad,"css  ,  html5  ,  rest api  ,  storage  ,  sql  ,  database  ,  security  ,  git  ,  mysql  ,  rest  ,  mobile  ,  knockoutjs  ,  javascript  ,  node.js  ,  infrastructure",0.0
eurofins it solutions pvt ltd,12 yrs,Bengaluru / Bangalore,"erp  /  crm  ,  javascript  ,  release manager  ,  sql  ,  information management  ,  software delivery  ,  mobile  ,  problem solving  ,  production support  ,  written communication  ,  infrastructure  ,  production environment",0.0
CloudCover,8 yrs,Pune,"algorithms  ,  orchestration  ,  scala  ,  sql  ,  java  ,  software engineer  ,  hadoop  ,  big data  ,  technical skills  ,  python  ,  oozie  ,  machine learning  ,  ddl  ,  nosql",0.0
ion trading india pvt. ltd.,3 yrs,,"c    ,  software design  ,  sql  ,  fx  ,  java  ,  software engineer  ,  software engineering  ,  perl  ,  c#  ,  python  ,  c  ,  team player  ,  javascript  ,  ruby  ,  infrastructure",0.0
WALMART INDIA,11 yrs,,"c    ,  information technology  ,  linear programming  ,  artificial intelligence  ,  java  ,  python  ,  nosql  ,  algorithms  ,  scala  ,  ensemble  ,  storage  ,  sql  ,  database  ,  machine learning  ,  forms",1.0
DIGITAL HARBOR,3 yrs,Bengaluru / Bangalore,"css  ,  c    ,  java  ,  xml  ,  j2ee  ,  html  ,  oracle  ,  director  ,  struts  ,  jsp  ,  sql  ,  ejb  ,  ant  ,  drools  ,  servlets",0.0
ion trading india pvt. ltd.,3 yrs,,"c    ,  software design  ,  sql  ,  fx  ,  java  ,  software engineer  ,  software engineering  ,  perl  ,  c#  ,  python  ,  c  ,  team player  ,  javascript  ,  ruby",0.0
Shar Technologies Group,4 yrs,Hyderabad/Secunderabad,"software engineering  ,  cli  ,  exceptions  ,  bi  ,  storage  ,  sql  ,  database development  ,  database management  ,  database  ,  debugging  ,  odbc  ,  problem solving  ,  unix shell",0.0
Golden Opportunities Pvt Ltd,3 yrs,"Hyderabad/Secunderabad,  Chennai,  Bengaluru / Bangalore","database  ,  oracle  ,  information technology  ,  oracle sql  ,  pl  /  sql  ,  plsql",1.0
logicplanet it services pvt ltd,8 yrs,"Chennai,  Bengaluru / Bangalore","system administration  ,  python  ,  sql plus  ,  bi  ,  shell scripting  ,  sql",1.0
CME Group Inc.,3 yrs,New York City,"udp  ,  ksh  ,  intellij  ,  sql  ,  docker  ,  java  ,  git  ,  debugging  ,  software engineer  ,  junit  ,  language proficiency  ,  problem solving  ,  gradle  ,  forms",1.0
CME Group Inc.,3 yrs,,"udp  ,  ksh  ,  intellij  ,  sql  ,  docker  ,  java  ,  git  ,  debugging  ,  software engineer  ,  junit  ,  language proficiency  ,  problem solving  ,  gradle  ,  forms",1.0
CME Group Inc.,3 yrs,,"udp  ,  ksh  ,  intellij  ,  sql  ,  docker  ,  java  ,  git  ,  debugging  ,  software engineer  ,  junit  ,  language proficiency  ,  problem solving  ,  gradle  ,  forms",1.0
altisource business solutions pvt ltd.,8 yrs,Bengaluru / Bangalore,"web services  ,  xml technologies  ,  coding  ,  java  ,  jboss  ,  xml  ,  system architect  ,  technical specifications  ,  coldfusion  ,  sql server  ,  technical requirements  ,  web application development",1.0
APPLYCUP HIRING SOLUTIONS LLP,1 yrs,Ahmedabad,"coding  ,  unit testing  ,  sql server",0.0
APPLYCUP HIRING SOLUTIONS LLP,7 yrs,Ahmedabad,"laravel  ,  php  ,  mysql  ,  sql  ,  nosql",0.0
APPLYCUP HIRING SOLUTIONS LLP,6 yrs,Ahmedabad,"git  ,  mysql  ,  c#.net  ,  mongodb  ,  sql",0.0
APPLYCUP HIRING SOLUTIONS LLP,6 yrs,"Gurgaon,  Delhi,  Delhi/NCR","reports  ,  sql  ,  coding  ,  technical specifications",0.0
DREAMAJAX TECHNOLOGIES,7 yrs,Bengaluru / Bangalore,"python  ,  django  ,  api  ,  sql  ,  nosql",0.0
ephicacy lifescience analytics pvt ltd,7 yrs,Bengaluru / Bangalore,"application support  ,  technical skills  ,  sql",0.0
FMT CORPORATION LIMITED,9 yrs,,"netezza  ,  teradata  ,  sql  ,  consultant  ,  greenplum",0.0
FMT CORPORATION LIMITED,5 yrs,,"sharepoint  ,  software engineer  ,  jquery  ,  sql",0.0
Axis Aerospace & Technolgies Private,8 yrs,Bengaluru / Bangalore,"database  ,  sql server  ,  database shrink",0.0
AXISCADES,8 yrs,Bengaluru / Bangalore,"database  ,  sql server  ,  Database Developement",0.0
MERITUS INTELYTICS PRIVATE LIMITED,6 yrs,Hyderabad/Secunderabad,"Knowledge of SQL  ,   R   ,   Business Analysis",0.0
MERITUS INTELYTICS PRIVATE LIMITED,3 yrs,Hyderabad/Secunderabad,"Knowledge of SQL  ,   R   ,   Business Analysis",0.0
NEXTWAVE MULTIMEDIA,4 yrs,Chennai,"python  ,  mobile games  ,  sql  ,  games",0.0
OASYS Cybernetics Pvt. Ltd,3 yrs,Chennai,"sql  ,  nosql  ,  infrastructure  ,  mongodb  ,  couchdb",0.0
Merilytics,3 yrs,Hyderabad/Secunderabad,"python   ,  sql  ,   potential analytical issues",0.0
Nous Info Systems,5 yrs,Bengaluru / Bangalore,"database  ,  c# .net  ,  .net  ,  sql",0.0
TECTURA,9 yrs,Noida/Greater Noida,"c  ,  team player  ,  sql  ,  ssrs",0.0
great techno tycoon,6 yrs,Indore,".net framework  ,  powerbuilder  ,  mfc  ,  sql",0.0
eDominer Systems,3 yrs,Bengaluru / Bangalore,"SQL Maestros  ,  SSGAS   ,  DataPlatform Geeks",0.0
virim infotech,6 yrs,Indore,"production support  ,  database  ,  security  ,  sql",0.0
TandA HR Solutions,2 yrs,Chandigarh,"python  ,  bi  ,  data warehousing  ,  sql  ,  debugging  ,  sql database",1.0
Microsoft India Pvt Ltd,13 yrs,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","c    ,  usb  ,  rtos  ,  software engineering  ,  embedded software  ,  sql  ,  memory management  ,  security  ,  debugging  ,  cloud services  ,  c  ,  problem solving  ,  infrastructure",2.0
TIBCO Software India Pvt Ltd,7 yrs,Ireland,"rest api  ,  windbg  ,  sso  ,  sql  ,  docker  ,  salesforce  ,  security  ,  java  ,  debugging  ,  html  ,  api  ,  crm  ,  san  ,  gdb  ,  microsoft azure  ,  windows  ,  os internals",2.0
TandA HR Solutions,3 yrs,Gurgaon,"c#  ,  software developer  ,  javascript  ,  sql",1.0
AMAZON INDIA PVT LTD,5 yrs,Hyderabad/Secunderabad,"sql  ,  visual basic  ,  exceptions  ,  infrastructure",1.0
dkatalis labs,3 yrs,Indonesia,"python  ,  sql  ,  nosql  ,  apache  ,  mongodb",1.0
Brainvire Infotech,7 yrs,Ahmedabad,"python  ,  oops  ,  project delivery  ,  sql",1.0
HyreFox Consultants,6 yrs,Jaipur,"html  ,  python  ,  github  ,  director  ,  javascript  ,  data mining  ,  bi  ,  jquery  ,  sql  ,  report builder  ,  problem solving  ,  machine learning  ,  infrastructure",2.0
AMAZON INDIA PVT LTD,13 yrs,Hyderabad/Secunderabad,"rest api  ,  sso  ,  xml  ,  api  ,  oracle  ,  director  ,  edi  ,  soap  ,  as2  ,  xsd  ,  sql  ,  rest  ,  edifact  ,  ansi x12  ,  production support",2.0
Merkle Inc.,23 yrs,,"episerver  ,  devops  ,  c#  ,  visual studio  ,  .net  ,  software developer  ,  sql  ,  senior software developer  ,  microsoft .net  ,  json  ,  crm  ,  mobile  ,  umbraco",2.0
Colgate-Palmolive  ( India ),6 yrs,Mumbai,"ajax  ,  spring  ,  python  ,  artificial neural networks  ,  soap  ,  algorithms  ,  bi  ,  sql  ,  d3.js  ,  database  ,  machine learning  ,  infrastructure",3.0
Microsoft India Pvt Ltd,13 yrs,Noida/Greater Noida,"c    ,  usb  ,  rtos  ,  software engineering  ,  embedded software  ,  sql  ,  memory management  ,  security  ,  debugging  ,  cloud services  ,  c  ,  problem solving  ,  infrastructure",3.0
Procter & Gamble  ( P&G ),5 yrs,Mumbai,"hive  ,  c    ,  scala  ,  artificial intelligence  ,  sql  ,  java  ,  hadoop  ,  big data  ,  python  ,  algorithm development  ,  mapreduce  ,  unix  /  linux  ,  soap",3.0
RFPIO Inc.,3 yrs,Coimbatore,"sql  ,  database  ,  python scripting  ,  nosql",2.0
lastminute.com group,13 yrs,Spain,"mobile  ,  problem solving  ,  sql programming",2.0
Verizon Media,3 yrs,Chennai,"python  ,  sql  ,  security  ,  java  ,  devops",2.0
Verizon Media,4 yrs,Chennai,"python  ,  sql  ,  security  ,  java  ,  devops",2.0
jumbotail,5 yrs,Bengaluru / Bangalore,"data mining  ,  sql  ,  team player",2.0
chqbook,10 yrs,Gurgaon,"python  ,  big data  ,  mongodb  ,  sql",2.0
WALMART INDIA,12 yrs,,"sql  ,  python  ,  c  ,  mobile  ,  splunk",2.0
Colgate-Palmolive  ( India ),8 yrs,Mumbai,"authoring  ,  information technology  ,  ajax  ,  spring  ,  java  ,  software engineering  ,  python  ,  reporting tools  ,  soap  ,  sql  ,  software engineer  ,  written communication  ,  infrastructure",3.0
Colgate-Palmolive  ( India ),5 yrs,Mumbai,"authoring  ,  information technology  ,  ajax  ,  spring  ,  java  ,  software engineering  ,  python  ,  reporting tools  ,  soap  ,  sql  ,  database  ,  written communication  ,  infrastructure",3.0
WALMART INDIA,11 yrs,,"c    ,  information technology  ,  linear programming  ,  artificial intelligence  ,  java  ,  python  ,  nosql  ,  algorithms  ,  machine learning  ,  scala  ,  ensemble  ,  storage  ,  sql  ,  database  ,  forms",4.0
palo alto networks  ( india )  pvt. ltd.,8 yrs,Bengaluru / Bangalore,"fundamentals  ,  hibernate  ,  apache tomcat  ,  spring  ,  security  ,  database  ,  java  ,  j2ee  ,  data structures  ,  cloud computing  ,  rest  ,  messaging  ,  infrastructure  ,  sql database",4.0
BOSTON SCIENTIFIC,3 yrs,,"information technology  ,  java  ,  api  ,  python  ,  .net  ,  sql  ,  database  ,  problem solving  ,  team player  ,  windows  ,  production support  ,  infrastructure  ,  entry level",4.0
dkatalis labs,10 yrs,Singapore,"python  ,  scala  ,  sql  ,  security  ,  apache",3.0
Fanatics Inc.,5 yrs,,"sql  ,  database  ,  security  ,  san  ,  mobile",3.0
SAP Ariba,8 yrs,Bengaluru / Bangalore,"sql  ,  database  ,  java  ,  problem solving",4.0
kyndryl india pvt ltd,10 yrs,Bengaluru / Bangalore,"css  ,  nintex  ,  xml  ,  web development  ,  html  ,  c#  ,  javascript  ,  sql programming  ,  bi  ,  sharepoint  ,  jquery  ,  security  ,  json  ,  bpm  ,  cloud services  ,  forms",5.0
Saggio Insurance Marketing Pvt Ltd,6 yrs,"Kolkata,  Pune,  Bengaluru / Bangalore","system deployment  ,  rhcsa  ,  oss  ,  linux  ,  hypervisor  ,  telecom  ,  oracle  ,  os  ,  virtualization  ,  vmware  ,  redhat  ,  rhce  ,  vm  ,  openstack  ,  oss  /  bss  ,  sql database",6.0
CME Group Inc.,3 yrs,Chicago,"udp  ,  ksh  ,  intellij  ,  sql  ,  docker  ,  java  ,  git  ,  debugging  ,  software engineer  ,  junit  ,  language proficiency  ,  problem solving  ,  gradle  ,  forms",6.0
dun and bradstreet india pvt ltd,8 yrs,Hyderabad/Secunderabad,"fundamentals  ,  css  ,  storage  ,  sql  ,  java  ,  git  ,  j2ee  ,  debugging  ,  software engineer  ,  html  ,  api  ,  rest  ,  javascript  ,  web technologies",6.0
Orange Business Services,8 yrs,"Morocco,  Gurgaon","sql  ,  docker  ,  database  ,  git  ,  linux  ,  software engineer  ,  mysql  ,  python  ,  problem solving  ,  svn  ,  business environment  ,  nosql  ,  django  ,  unix",6.0
qs quacquarelli symonds india pvt ltd,3 yrs,Malaysia,"bootstrap  ,  t-sql  ,  senior software developer  ,  xml  ,  asp.net  ,  mvc  ,  crm  ,  c#  ,  javascript  ,  visual studio  ,  leadership skills  ,  .net",6.0
verisk analytics india private limited,8 yrs,Delhi,"information technology  ,  rest api  ,  data structures  ,  html  ,  big data  ,  python  ,  nosql  ,  bi  ,  data warehousing  ,  sql  ,  git  ,  cloud services  ,  rdbms",6.0
Merkle Inc.,6 yrs,Philippines,"css  ,  jquery  ,  sql  ,  apex  ,  salesforce  ,  java  ,  technology consulting  ,  html  ,  crm  ,  visualforce  ,  mobile  ,  javascript  ,  consultant  ,  content management system",1.0
Verizon Media,7 yrs,Chennai,"scala  ,  sql  ,  java  ,  python  ,  consultant",6.0
Verizon Media,7 yrs,Bengaluru / Bangalore,"scala  ,  sql  ,  java  ,  python  ,  consultant",6.0
Soho Dragon,3 yrs,New York City,"data mining  ,  sql  ,  application support",6.0
Soho Dragon,3 yrs,New York City,"data mining  ,  sql  ,  application support",6.0
Soho Dragon,6 yrs,New York City,"sql  ,  linux  ,  JIRA   ,  market data",6.0
Soho Dragon,8 yrs,,"sql  ,  devops  ,  python  ,  tornado  ,  django",6.0
dun and bradstreet india pvt ltd,10 yrs,Hyderabad/Secunderabad,"python  ,  sql  ,  devops  ,  cloud computing",6.0
dun and bradstreet india pvt ltd,8 yrs,Hyderabad/Secunderabad,"python  ,  sql  ,  devops  ,  cloud computing",6.0
krazy mantra hr solutions,3 yrs,"Bhubaneshwar,  Bengaluru / Bangalore","python scripting  ,  sql  ,  Teradata Lead",6.0
Textron India Pvt Ltd,8 yrs,,"c    ,  radio frequency  ,  signal processing  ,  sql  ,  database  ,  java  ,  xml  ,  debugging  ,  c#  ,  c  ,  visual studio  ,  radar  ,  embedded software  ,  .net",1.0
Careem,7 yrs,Dubai,"team player  ,  sql  ,   Engagement initiatives",6.0
dkatalis labs,3 yrs,Singapore,"python  ,  sql  ,  nosql  ,  apache  ,  mongodb",6.0
rackspace technology,8 yrs,,"orchestration  ,  devops  ,  data structures  ,  api  ,  big data  ,  python  ,  nosql  ,  reporting tools  ,  scala  ,  bi  ,  storage  ,  sql  ,  security  ,  git  ,  san",1.0
emis health india pvt ltd,3 yrs,,"python  ,  sql  ,  hadoop  ,  big data",1.0
brickred  ( 3pillar global ),3 yrs,Canada,"fundamentals  ,  c#  ,  oracle  ,  sql  ,  java",1.0
quacquarelli symonds pvt ltd,3 yrs,Malaysia,"bootstrap  ,  t-sql  ,  senior software developer  ,  xml  ,  asp.net  ,  mvc  ,  crm  ,  c#  ,  javascript  ,  visual studio  ,  leadership skills  ,  .net",1.0
Sanofi India Ltd.,5 yrs,Hyderabad/Secunderabad,"dashboards  ,  data analytics  ,  data warehousing  ,  business analyst  ,  sql  ,  data visualization  ,  crm  ,  data analysis  ,  sas  ,  spotfire  ,  business analytics  ,  tableau  ,  infrastructure",1.0
Larsen & Toubro Infotech Ltd,3 yrs,Bengaluru / Bangalore,"algorithms  ,  c    ,  data mining  ,  sql  ,  d3.js  ,  database  ,  java  ,  devops  ,  mongodb  ,  python  ,  c  ,  machine learning  ,  nosql",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"sql  ,  database  ,  big data  ,  crm",1.0
Argus Media,3 yrs,,"developing tools  ,  Data Scientist  ,  SQL",1.0
RateGain IT Solutions Pvt Ltd,5 yrs,Noida/Greater Noida,"github  ,  sql  ,  database  ,  php  ,  mysql",1.0
imanage llc,3 yrs,Chicago,"information technology  ,  ip networking  ,  apache tomcat  ,  vb script  ,  xml  ,  html  ,  technical skills  ,  director  ,  mobile  ,  windows  ,  javascript  ,  web technologies  ,  sql database",1.0
TERADATA INDIA PVT LTD,5 yrs,Jeddah,"bi  ,  data warehousing  ,  business intelligence  ,  sql  ,  database  ,  software engineering  ,  computer programmer  ,  teradata  ,  microstrategy  ,  consultant  ,  written communication  ,  business objects",1.0
Koch Global Business Services,9 yrs,Bengaluru / Bangalore,"orchestration  ,  sql  ,  git  ,  devops  ,  hadoop",1.0
Jnit Technologies,4 yrs,Hyderabad/Secunderabad,"oracle  ,  sql  ,  git  ,  apache  ,  devops",1.0
Armaco Chemical Processes Systems Pvt Ltd,11 yrs,Jeddah,"bi  ,  artificial intelligence  ,  sql  ,  security  ,  java  ,  apache  ,  software engineering  ,  shell scripting  ,  hadoop  ,  python  ,  machine learning  ,  javascript  ,  infrastructure",1.0
Alstom Projects India Ltd.,7 yrs,Pittsburgh,"css  ,  sql  ,  oop  ,  security  ,  java  ,  git  ,  html  ,  cloud services  ,  javascript  ,  nosql  ,  spring framework  ,  node.js  ,  software developer",1.0
WALMART INDIA,9 yrs,,"c    ,  information technology  ,  linear programming  ,  java  ,  python  ,  nosql  ,  reporting tools  ,  machine learning  ,  big data  ,  scala  ,  storage  ,  sql  ,  database  ,  san  ,  forms",1.0
eMids Technologies Pvt Ltd,9 yrs,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","scala  ,  sql  ,  security  ,  mongodb  ,  mobile",1.0
eMids Technologies Pvt Ltd,7 yrs,Bengaluru / Bangalore,"spring  ,  java  ,  big data  ,  python  ,  hive  ,  hadoop developer  ,  scala  ,  storage  ,  hibernate  ,  sql  ,  security  ,  git  ,  linux  ,  hadoop  ,  oozie  ,  mobile  ,  infrastructure",1.0
DBXento Systems Pvt. Ltd.,5 yrs,Pune,"sql  ,  database  ,  software engineer  ,  php",1.0
WALMART INDIA,9 yrs,,"algorithms  ,  information technology  ,  scala  ,  sql  ,  software engineering  ,  big data  ,  technical skills  ,  python  ,  machine learning  ,  nosql  ,  project delivery",1.0
WALMART INDIA,9 yrs,,"algorithms  ,  information technology  ,  scala  ,  sql  ,  software engineering  ,  big data  ,  technical skills  ,  python  ,  machine learning  ,  nosql  ,  project delivery",1.0
withumsmithbrown india llp,10 yrs,,"information technology  ,  java  ,  devops  ,  api  ,  github  ,  .net  ,  bi  ,  sharepoint  ,  sql  ,  security  ,  git  ,  crm  ,  san  ,  c  ,  microsoft azure  ,  problem solving  ,  forms",1.0
GROUPM MEDIA INDIA PVT LTD,18 yrs,Gurgaon,"salesforce  ,  software engineering  ,  cli  ,  python  ,  director  ,  web technologies  ,  data mining  ,  sql  ,  database  ,  git  ,  cloud computing  ,  machine learning",1.0
Amzur Infotech Private Limited,7 yrs,Visakhapatnam,"hibernate  ,  jquery  ,  sql  ,  database  ,  asp.net  ,  debugging  ,  software engineer  ,  software engineering  ,  mvc  ,  c#  ,  entity framework  ,  asp .net  ,  javascript  ,  .net",1.0
Amzur Infotech Private Limited,7 yrs,Visakhapatnam,"hibernate  ,  jquery  ,  sql  ,  database  ,  asp.net  ,  debugging  ,  software engineer  ,  software engineering  ,  mvc  ,  c#  ,  entity framework  ,  asp .net  ,  javascript  ,  .net",1.0
glan management consultancy pvt. ltd.,10 yrs,"Mumbai,  Pune,  Bengaluru / Bangalore","css  ,  information technology  ,  html5  ,  jquery  ,  sql  ,  docker  ,  security  ,  git  ,  html  ,  mysql  ,  api  ,  software testing  ,  svn  ,  javascript  ,  drupal  ,  php",1.0
Golden Opportunities Pvt Ltd,3 yrs,Gurgaon,"SQL database  ,  database management  ,  CORSIA",1.0
Angel and Genie,5 yrs,Ahmedabad,"node.js  ,  database  ,  sql  ,  nosql",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
TIBCO Software India Pvt Ltd,5 yrs,Bengaluru / Bangalore,"tibco  ,  salesforce  ,  database  ,  SQL queries",1.0
Maania Consultancy Services,3 yrs,,"Cloud Engineer  ,  PowerShell  ,  SQL Server",1.0
glan management consultancy pvt. ltd.,3 yrs,Ghaziabad,"SQL  ,  databases  ,  server-side software",1.0
rackspace technology,8 yrs,Canada,"orchestration  ,  devops  ,  data structures  ,  api  ,  big data  ,  python  ,  nosql  ,  reporting tools  ,  scala  ,  bi  ,  storage  ,  sql  ,  security  ,  git",1.0
keysight technologies india pvt ltd,10 yrs,Gurgaon,"business intelligence  ,  asp.net  ,  etl  ,  etl development  ,  microstrategy  ,  business intelligence tools  ,  ssis  ,  data mining  ,  bi  ,  data warehousing  ,  sql  ,  data transformation",1.0
Alstom Projects India Ltd.,8 yrs,Italy,"information technology  ,  ip networking  ,  sql  ,  database  ,  devops  ,  c#  ,  microsoft azure  ,  problem solving  ,  team player  ,  windows  ,  javascript  ,  software integration  ,  infrastructure",1.0
Koch Global Business Services,5 yrs,Bengaluru / Bangalore,"python  ,  sql  ,  data extraction  ,  MatLab",1.0
LIferay,8 yrs,,"mql  ,  sql  ,  liferay  ,  reporting tools",1.0
RSM International Association,3 yrs,,"Analyst  ,  SQL Server  ,  database management",1.0
Binance,11 yrs,China,"sql  ,  java  ,  devops  ,  spring framework",1.0
Careem,4 yrs,Cairo,"css  ,  sql  ,  salesforce  ,  html  ,  crm",1.0
COGNITER TECHNOLOGIES,5 yrs,Chandigarh,"c#  ,  python  ,  rdbms  ,  oracle  ,  sql",1.0
True Influence,2 yrs,,"SQL  ,  Data Analyst  ,  Data Analysis",1.0
Money View,6 yrs,Bengaluru / Bangalore,"SQL skills  ,   Python   ,  R skills",1.0
Alstom Projects India Ltd.,12 yrs,Bengaluru / Bangalore,"technical leader  ,  ece  ,  xsd  ,  sql  ,  software designer  ,  xml  ,  debugging  ,  json  ,  c#  ,  rest  ,  team player  ,  windows  ,  infrastructure  ,  .net",1.0
Larsen & Toubro Infotech Ltd,8 yrs,,"business requirements  ,  bi  ,  user stories  ,  sql  ,  database  ,  brd  ,  use cases  ,  frd  ,  functional requirements  ,  data analyst  ,  tableau  ,  documentation skills",1.0
